;Unnamed: 0;text;step1;tokens;final_tokens;step2;finalText_str;ProcessedText
20;20;im not sure the feeling of loss will ever go away but it may dull to a sweet feeling of nostalgia at what i shared in this life with my dad and the luck i had to have a dad for years;im not sure the feeling of loss will ever go away but it may dull to sweet feeling of nostalgia at what shared in this life with my dad and the luck had to have dad for years;['im', 'not', 'sure', 'the', 'feeling', 'of', 'loss', 'will', 'ever', 'go', 'away', 'but', 'it', 'may', 'dull', 'to', 'sweet', 'feeling', 'of', 'nostalgia', 'at', 'what', 'shared', 'in', 'this', 'life', 'with', 'my', 'dad', 'and', 'the', 'luck', 'had', 'to', 'have', 'dad', 'for', 'years'];['im', 'not', 'sure', 'the', 'feeling', 'of', 'loss', 'will', 'ever', 'go', 'away', 'but', 'it', 'may', 'dull', 'to', 'sweet', 'feeling', 'of', 'nostalgia', 'at', 'what', 'shared', 'in', 'this', 'life', 'with', 'my', 'dad', 'and', 'the', 'luck', 'had', 'to', 'have', 'dad', 'for', 'years'];im not sure the feeling of loss will ever go away but it may dull to sweet feeling of nostalgia at what shared in this life with my dad and the luck had to have dad for years;im not sure the feeling of loss will ever go away but it may dull to sweet feeling of nostalgia at what shared in this life with my dad and the luck had to have dad for years;not sure the feeling of loss will ever go away but it may dull sweet feeling of nostalgia at what shared in this life with my dad the luck had have dad for years
21;21;i feel like ive gotten to know many of you through comments and emails and for that im appreciative and glad you are a part of this little space;feel like ive gotten to know many of you through comments and emails and for that im appreciative and glad you are part of this little space;['feel', 'like', 'ive', 'gotten', 'to', 'know', 'many', 'of', 'you', 'through', 'comments', 'and', 'emails', 'and', 'for', 'that', 'im', 'appreciative', 'and', 'glad', 'you', 'are', 'part', 'of', 'this', 'little', 'space'];['feel', 'like', 'ive', 'gotten', 'to', 'know', 'many', 'of', 'you', 'through', 'comments', 'and', 'emails', 'and', 'for', 'that', 'im', 'appreciative', 'and', 'glad', 'you', 'are', 'part', 'of', 'this', 'little', 'space'];feel like ive gotten to know many of you through comments and emails and for that im appreciative and glad you are part of this little space;feel like ive gotten to know many of you through comments and emails and for that im appreciative and glad you are part of this little space;feel like ive gotten know many of you through comments emails for that appreciative glad you are part of this little space
22;22;i survey my own posts over the last few years and only feel pleased with vague snippets of a few of them only feel that little bits of them capture what its like to be me or someone like me in dublin in the st century;survey my own posts over the last few years and only feel pleased with vague snippets of few of them only feel that little bits of them capture what its like to be me or someone like me in dublin in the st century;['survey', 'my', 'own', 'posts', 'over', 'the', 'last', 'few', 'years', 'and', 'only', 'feel', 'pleased', 'with', 'vague', 'snippets', 'of', 'few', 'of', 'them', 'only', 'feel', 'that', 'little', 'bits', 'of', 'them', 'capture', 'what', 'its', 'like', 'to', 'be', 'me', 'or', 'someone', 'like', 'me', 'in', 'dublin', 'in', 'the', 'st', 'century'];['survey', 'my', 'own', 'posts', 'over', 'the', 'last', 'few', 'years', 'and', 'only', 'feel', 'pleased', 'with', 'vague', 'snippets', 'of', 'few', 'of', 'them', 'only', 'feel', 'that', 'little', 'bits', 'of', 'them', 'capture', 'what', 'its', 'like', 'to', 'be', 'me', 'or', 'someone', 'like', 'me', 'in', 'dublin', 'in', 'the', 'st', 'century'];survey my own posts over the last few years and only feel pleased with vague snippets of few of them only feel that little bits of them capture what its like to be me or someone like me in dublin in the st century;survey my own posts over the last few years and only feel pleased with vague snippets of few of them only feel that little bits of them capture what its like to be me or someone like me in dublin in the st century;survey my own posts over the last few years only feel pleased with vague snippets of few of them only feel that little bits of them capture what its like be me or someone like me in dublin in the st century
23;23;i also tell you in hopes that anyone who is still feeling stigmatized or ashamed of their mental health issues will let go of the stigma let go of the shame;also tell you in hopes that anyone who is still feeling stigmatized or ashamed of their mental health issues will let go of the stigma let go of the shame;['also', 'tell', 'you', 'in', 'hopes', 'that', 'anyone', 'who', 'is', 'still', 'feeling', 'stigmatized', 'or', 'ashamed', 'of', 'their', 'mental', 'health', 'issues', 'will', 'let', 'go', 'of', 'the', 'stigma', 'let', 'go', 'of', 'the', 'shame'];['also', 'tell', 'you', 'in', 'hopes', 'that', 'anyone', 'who', 'is', 'still', 'feeling', 'stigmatized', 'or', 'ashamed', 'of', 'their', 'mental', 'health', 'issues', 'will', 'let', 'go', 'of', 'the', 'stigma', 'let', 'go', 'of', 'the', 'shame'];also tell you in hopes that anyone who is still feeling stigmatized or ashamed of their mental health issues will let go of the stigma let go of the shame;also tell you in hopes that anyone who is still feeling stigmatized or ashamed of their mental health issues will let go of the stigma let go of the shame;also tell you in hopes that anyone who is still feeling stigmatized or ashamed of their mental health issues will let go of the stigma let go of the shame
24;24;i don t feel guilty like i m not going to be able to cook for him;don feel guilty like not going to be able to cook for him;['don', 'feel', 'guilty', 'like', 'not', 'going', 'to', 'be', 'able', 'to', 'cook', 'for', 'him'];['don', 'feel', 'guilty', 'like', 'not', 'going', 'to', 'be', 'able', 'to', 'cook', 'for', 'him'];don feel guilty like not going to be able to cook for him;don feel guilty like not going to be able to cook for him;don feel guilty like not going be able cook for him
25;25;i hate it when i feel fearful for absolutely no reason;hate it when feel fearful for absolutely no reason;['hate', 'it', 'when', 'feel', 'fearful', 'for', 'absolutely', 'no', 'reason'];['hate', 'it', 'when', 'feel', 'fearful', 'for', 'absolutely', 'no', 'reason'];hate it when feel fearful for absolutely no reason;hate it when feel fearful for absolutely no reason;hate it when feel fearful for absolutely no reason
26;26;i am feeling outraged it shows everywhere;am feeling outraged it shows everywhere;['am', 'feeling', 'outraged', 'it', 'shows', 'everywhere'];['am', 'feeling', 'outraged', 'it', 'shows', 'everywhere'];am feeling outraged it shows everywhere;am feeling outraged it shows everywhere;am feeling outraged it shows everywhere
27;27;i stole a book from one of my all time favorite authors and now i feel like a rotten person;stole book from one of my all time favorite authors and now feel like rotten person;['stole', 'book', 'from', 'one', 'of', 'my', 'all', 'time', 'favorite', 'authors', 'and', 'now', 'feel', 'like', 'rotten', 'person'];['stole', 'book', 'from', 'one', 'of', 'my', 'all', 'time', 'favorite', 'authors', 'and', 'now', 'feel', 'like', 'rotten', 'person'];stole book from one of my all time favorite authors and now feel like rotten person;stole book from one of my all time favorite authors and now feel like rotten person;stole book from one of my all time favorite authors now feel like rotten person
28;28;i do feel insecure sometimes but who doesnt;do feel insecure sometimes but who doesnt;['do', 'feel', 'insecure', 'sometimes', 'but', 'who', 'doesnt'];['do', 'feel', 'insecure', 'sometimes', 'but', 'who', 'doesnt'];do feel insecure sometimes but who doesnt;do feel insecure sometimes but who doesnt;do feel insecure sometimes but who doesnt
29;29;i highly recommend visiting on a wednesday if youre able because its less crowded so you get to ask the farmers more questions without feeling rude for holding up a line;highly recommend visiting on wednesday if youre able because its less crowded so you get to ask the farmers more questions without feeling rude for holding up line;['highly', 'recommend', 'visiting', 'on', 'wednesday', 'if', 'youre', 'able', 'because', 'its', 'less', 'crowded', 'so', 'you', 'get', 'to', 'ask', 'the', 'farmers', 'more', 'questions', 'without', 'feeling', 'rude', 'for', 'holding', 'up', 'line'];['highly', 'recommend', 'visiting', 'on', 'wednesday', 'if', 'youre', 'able', 'because', 'its', 'less', 'crowded', 'so', 'you', 'get', 'to', 'ask', 'the', 'farmers', 'more', 'questions', 'without', 'feeling', 'rude', 'for', 'holding', 'up', 'line'];highly recommend visiting on wednesday if youre able because its less crowded so you get to ask the farmers more questions without feeling rude for holding up line;highly recommend visiting on wednesday if youre able because its less crowded so you get to ask the farmers more questions without feeling rude for holding up line;highly recommend visiting on wednesday if youre able because its less crowded so you get ask the farmers more questions without feeling rude for holding up line
30;30;ive been missing him and feeling so restless at home thinking of him;ive been missing him and feeling so restless at home thinking of him;['ive', 'been', 'missing', 'him', 'and', 'feeling', 'so', 'restless', 'at', 'home', 'thinking', 'of', 'him'];['ive', 'been', 'missing', 'him', 'and', 'feeling', 'so', 'restless', 'at', 'home', 'thinking', 'of', 'him'];ive been missing him and feeling so restless at home thinking of him;ive been missing him and feeling so restless at home thinking of him;ive been missing him feeling so restless at home thinking of him
31;31;i posted on my facebook page earlier this week ive been feeling a little grumpy and out of sorts the past few days;posted on my facebook page earlier this week ive been feeling little grumpy and out of sorts the past few days;['posted', 'on', 'my', 'facebook', 'page', 'earlier', 'this', 'week', 'ive', 'been', 'feeling', 'little', 'grumpy', 'and', 'out', 'of', 'sorts', 'the', 'past', 'few', 'days'];['posted', 'on', 'my', 'facebook', 'page', 'earlier', 'this', 'week', 'ive', 'been', 'feeling', 'little', 'grumpy', 'and', 'out', 'of', 'sorts', 'the', 'past', 'few', 'days'];posted on my facebook page earlier this week ive been feeling little grumpy and out of sorts the past few days;posted on my facebook page earlier this week ive been feeling little grumpy and out of sorts the past few days;posted on my facebook page earlier this week ive been feeling little grumpy out of sorts the past few days
32;32;i start to feel emotional;start to feel emotional;['start', 'to', 'feel', 'emotional'];['start', 'to', 'feel', 'emotional'];start to feel emotional;start to feel emotional;start feel emotional
33;33;i feel so cold a href http irish;feel so cold href http irish;['feel', 'so', 'cold', 'href', 'http', 'irish'];['feel', 'so', 'cold', 'href', 'http', 'irish'];feel so cold href http irish;feel so cold href http irish;feel so cold href http irish
34;34;i feel like i m defective or something for not having baby fever;feel like defective or something for not having baby fever;['feel', 'like', 'defective', 'or', 'something', 'for', 'not', 'having', 'baby', 'fever'];['feel', 'like', 'defective', 'or', 'something', 'for', 'not', 'having', 'baby', 'fever'];feel like defective or something for not having baby fever;feel like defective or something for not having baby fever;feel like defective or something for not having baby fever
35;35;i feel more virtuous than when i eat veggies dipped in hummus;feel more virtuous than when eat veggies dipped in hummus;['feel', 'more', 'virtuous', 'than', 'when', 'eat', 'veggies', 'dipped', 'in', 'hummus'];['feel', 'more', 'virtuous', 'than', 'when', 'eat', 'veggies', 'dipped', 'in', 'hummus'];feel more virtuous than when eat veggies dipped in hummus;feel more virtuous than when eat veggies dipped in hummus;feel more virtuous than when eat veggies dipped in hummus
36;36;i feel very honoured to be included in a magzine which prioritises health and clean living so highly im curious do any of you read magazines concerned with health and clean lifestyles such as the green parent;feel very honoured to be included in magzine which prioritises health and clean living so highly im curious do any of you read magazines concerned with health and clean lifestyles such as the green parent;['feel', 'very', 'honoured', 'to', 'be', 'included', 'in', 'magzine', 'which', 'prioritises', 'health', 'and', 'clean', 'living', 'so', 'highly', 'im', 'curious', 'do', 'any', 'of', 'you', 'read', 'magazines', 'concerned', 'with', 'health', 'and', 'clean', 'lifestyles', 'such', 'as', 'the', 'green', 'parent'];['feel', 'very', 'honoured', 'to', 'be', 'included', 'in', 'magzine', 'which', 'prioritises', 'health', 'and', 'clean', 'living', 'so', 'highly', 'im', 'curious', 'do', 'any', 'of', 'you', 'read', 'magazines', 'concerned', 'with', 'health', 'and', 'clean', 'lifestyles', 'such', 'as', 'the', 'green', 'parent'];feel very honoured to be included in magzine which prioritises health and clean living so highly im curious do any of you read magazines concerned with health and clean lifestyles such as the green parent;feel very honoured to be included in magzine which prioritises health and clean living so highly im curious do any of you read magazines concerned with health and clean lifestyles such as the green parent;feel very honoured be included in magzine which prioritises health clean living so highly curious do any of you read magazines concerned with health clean lifestyles such as the green parent
37;37;i spent the last two weeks of school feeling miserable;spent the last two weeks of school feeling miserable;['spent', 'the', 'last', 'two', 'weeks', 'of', 'school', 'feeling', 'miserable'];['spent', 'the', 'last', 'two', 'weeks', 'of', 'school', 'feeling', 'miserable'];spent the last two weeks of school feeling miserable;spent the last two weeks of school feeling miserable;spent the last two weeks of school feeling miserable
38;38;im feeling very peaceful about our wedding again now after having;im feeling very peaceful about our wedding again now after having;['im', 'feeling', 'very', 'peaceful', 'about', 'our', 'wedding', 'again', 'now', 'after', 'having'];['im', 'feeling', 'very', 'peaceful', 'about', 'our', 'wedding', 'again', 'now', 'after', 'having'];im feeling very peaceful about our wedding again now after having;im feeling very peaceful about our wedding again now after having;feeling very peaceful about our wedding again now after having
39;39;i had been talking to coach claudia barcomb and coach ali boe for a long time and they both made me feel very welcomed at union;had been talking to coach claudia barcomb and coach ali boe for long time and they both made me feel very welcomed at union;['had', 'been', 'talking', 'to', 'coach', 'claudia', 'barcomb', 'and', 'coach', 'ali', 'boe', 'for', 'long', 'time', 'and', 'they', 'both', 'made', 'me', 'feel', 'very', 'welcomed', 'at', 'union'];['had', 'been', 'talking', 'to', 'coach', 'claudia', 'barcomb', 'and', 'coach', 'ali', 'boe', 'for', 'long', 'time', 'and', 'they', 'both', 'made', 'me', 'feel', 'very', 'welcomed', 'at', 'union'];had been talking to coach claudia barcomb and coach ali boe for long time and they both made me feel very welcomed at union;had been talking to coach claudia barcomb and coach ali boe for long time and they both made me feel very welcomed at union;had been talking coach claudia barcomb coach ali boe for long time they both made me feel very welcomed at union
40;40;i feel if i completely hated things i d exercise my democratic right speak my mind in what ever ways possible and try to enact a change;feel if completely hated things my democratic right speak my mind in what ever ways possible and try to enact change;['feel', 'if', 'completely', 'hated', 'things', 'my', 'democratic', 'right', 'speak', 'my', 'mind', 'in', 'what', 'ever', 'ways', 'possible', 'and', 'try', 'to', 'enact', 'change'];['feel', 'if', 'completely', 'hated', 'things', 'my', 'democratic', 'right', 'speak', 'my', 'mind', 'in', 'what', 'ever', 'ways', 'possible', 'and', 'try', 'to', 'enact', 'change'];feel if completely hated things my democratic right speak my mind in what ever ways possible and try to enact change;feel if completely hated things my democratic right speak my mind in what ever ways possible and try to enact change;feel if completely hated things my democratic right speak my mind in what ever ways possible try enact change
41;41;i feel humiliated embarrassed or foolish i will remember that others have felt the same way because of the same kinds of things and i will be kind and helpful and accepting;feel humiliated embarrassed or foolish will remember that others have felt the same way because of the same kinds of things and will be kind and helpful and accepting;['feel', 'humiliated', 'embarrassed', 'or', 'foolish', 'will', 'remember', 'that', 'others', 'have', 'felt', 'the', 'same', 'way', 'because', 'of', 'the', 'same', 'kinds', 'of', 'things', 'and', 'will', 'be', 'kind', 'and', 'helpful', 'and', 'accepting'];['feel', 'humiliated', 'embarrassed', 'or', 'foolish', 'will', 'remember', 'that', 'others', 'have', 'felt', 'the', 'same', 'way', 'because', 'of', 'the', 'same', 'kinds', 'of', 'things', 'and', 'will', 'be', 'kind', 'and', 'helpful', 'and', 'accepting'];feel humiliated embarrassed or foolish will remember that others have felt the same way because of the same kinds of things and will be kind and helpful and accepting;feel humiliated embarrassed or foolish will remember that others have felt the same way because of the same kinds of things and will be kind and helpful and accepting;feel humiliated embarrassed or foolish will remember that others have felt the same way because of the same kinds of things will be kind helpful accepting
42;42;i feel reassured that i am dealing with my diet in the right way and that all is good;feel reassured that am dealing with my diet in the right way and that all is good;['feel', 'reassured', 'that', 'am', 'dealing', 'with', 'my', 'diet', 'in', 'the', 'right', 'way', 'and', 'that', 'all', 'is', 'good'];['feel', 'reassured', 'that', 'am', 'dealing', 'with', 'my', 'diet', 'in', 'the', 'right', 'way', 'and', 'that', 'all', 'is', 'good'];feel reassured that am dealing with my diet in the right way and that all is good;feel reassured that am dealing with my diet in the right way and that all is good;feel reassured that am dealing with my diet in the right way that all is good
43;43;i feel i have to agree with her even though i can imagine some rather unpleasant possible cases;feel have to agree with her even though can imagine some rather unpleasant possible cases;['feel', 'have', 'to', 'agree', 'with', 'her', 'even', 'though', 'can', 'imagine', 'some', 'rather', 'unpleasant', 'possible', 'cases'];['feel', 'have', 'to', 'agree', 'with', 'her', 'even', 'though', 'can', 'imagine', 'some', 'rather', 'unpleasant', 'possible', 'cases'];feel have to agree with her even though can imagine some rather unpleasant possible cases;feel have to agree with her even though can imagine some rather unpleasant possible cases;feel have agree with her even though can imagine some rather unpleasant possible cases
44;44;im in such a happy mood today i feel almost delighted and i havent done anything different today then i normally have it is wonderful;im in such happy mood today feel almost delighted and havent done anything different today then normally have it is wonderful;['im', 'in', 'such', 'happy', 'mood', 'today', 'feel', 'almost', 'delighted', 'and', 'havent', 'done', 'anything', 'different', 'today', 'then', 'normally', 'have', 'it', 'is', 'wonderful'];['im', 'in', 'such', 'happy', 'mood', 'today', 'feel', 'almost', 'delighted', 'and', 'havent', 'done', 'anything', 'different', 'today', 'then', 'normally', 'have', 'it', 'is', 'wonderful'];im in such happy mood today feel almost delighted and havent done anything different today then normally have it is wonderful;im in such happy mood today feel almost delighted and havent done anything different today then normally have it is wonderful;in such happy mood today feel almost delighted havent done anything different today then normally have it is wonderful
45;45;im feeling really out of place and irritated;im feeling really out of place and irritated;['im', 'feeling', 'really', 'out', 'of', 'place', 'and', 'irritated'];['im', 'feeling', 'really', 'out', 'of', 'place', 'and', 'irritated'];im feeling really out of place and irritated;im feeling really out of place and irritated;feeling really out of place irritated
46;46;i also know that i feel nothing than a friendly affection to them too;also know that feel nothing than friendly affection to them too;['also', 'know', 'that', 'feel', 'nothing', 'than', 'friendly', 'affection', 'to', 'them', 'too'];['also', 'know', 'that', 'feel', 'nothing', 'than', 'friendly', 'affection', 'to', 'them', 'too'];also know that feel nothing than friendly affection to them too;also know that feel nothing than friendly affection to them too;also know that feel nothing than friendly affection them too
47;47;i feel like i had a rather productive weekend and i cant always say that no matter how much i get done;feel like had rather productive weekend and cant always say that no matter how much get done;['feel', 'like', 'had', 'rather', 'productive', 'weekend', 'and', 'cant', 'always', 'say', 'that', 'no', 'matter', 'how', 'much', 'get', 'done'];['feel', 'like', 'had', 'rather', 'productive', 'weekend', 'and', 'cant', 'always', 'say', 'that', 'no', 'matter', 'how', 'much', 'get', 'done'];feel like had rather productive weekend and cant always say that no matter how much get done;feel like had rather productive weekend and cant always say that no matter how much get done;feel like had rather productive weekend cant always say that no matter how much get done
