;text;step1;tokens;final_tokens;step2
10;i don t feel particularly agitated;don feel particularly agitated;['don', 'feel', 'particularly', 'agitated'];['don', 'feel', 'particularly', 'agitated'];don feel particularly agitated
11;i feel beautifully emotional knowing that these women of whom i knew just a handful were holding me and my baba on our journey;feel beautifully emotional knowing that these women of whom knew just handful were holding me and my baba on our journey;['feel', 'beautifully', 'emotional', 'knowing', 'that', 'these', 'women', 'of', 'whom', 'knew', 'just', 'handful', 'were', 'holding', 'me', 'and', 'my', 'baba', 'on', 'our', 'journey'];['feel', 'beautifully', 'emotional', 'knowing', 'that', 'these', 'women', 'of', 'whom', 'knew', 'just', 'handful', 'were', 'holding', 'me', 'and', 'my', 'baba', 'on', 'our', 'journey'];feel beautifully emotional knowing that these women of whom knew just handful were holding me and my baba on our journey
12;i pay attention it deepens into a feeling of being invaded and helpless;pay attention it deepens into feeling of being invaded and helpless;['pay', 'attention', 'it', 'deepens', 'into', 'feeling', 'of', 'being', 'invaded', 'and', 'helpless'];['pay', 'attention', 'it', 'deepens', 'into', 'feeling', 'of', 'being', 'invaded', 'and', 'helpless'];pay attention it deepens into feeling of being invaded and helpless
13;i just feel extremely comfortable with the group of people that i dont even need to hide myself;just feel comfortable with the group of people that dont even need to hide myself;['just', 'feel', 'comfortable', 'with', 'the', 'group', 'of', 'people', 'that', 'dont', 'even', 'need', 'to', 'hide', 'myself'];['just', 'feel', 'comfortable', 'with', 'the', 'group', 'of', 'people', 'that', 'dont', 'even', 'need', 'to', 'hide', 'myself'];just feel comfortable with the group of people that dont even need to hide myself
14;i find myself in the odd position of feeling supportive of;find myself in the odd position of feeling supportive of;['find', 'myself', 'in', 'the', 'odd', 'position', 'of', 'feeling', 'supportive', 'of'];['find', 'myself', 'in', 'the', 'odd', 'position', 'of', 'feeling', 'supportive', 'of'];find myself in the odd position of feeling supportive of
15;i was feeling as heartbroken as im sure katniss was;was feeling as heartbroken as im sure katniss was;['was', 'feeling', 'as', 'heartbroken', 'as', 'im', 'sure', 'katniss', 'was'];['was', 'feeling', 'as', 'heartbroken', 'as', 'im', 'sure', 'katniss', 'was'];was feeling as heartbroken as im sure katniss was
16;i feel a little mellow today;feel little mellow today;['feel', 'little', 'mellow', 'today'];['feel', 'little', 'mellow', 'today'];feel little mellow today
17;i feel like my only role now would be to tear your sails with my pessimism and discontent;feel like my only role now would be to tear your sails with my pessimism and discontent;['feel', 'like', 'my', 'only', 'role', 'now', 'would', 'be', 'to', 'tear', 'your', 'sails', 'with', 'my', 'pessimism', 'and', 'discontent'];['feel', 'like', 'my', 'only', 'role', 'now', 'would', 'be', 'to', 'tear', 'your', 'sails', 'with', 'my', 'pessimism', 'and', 'discontent'];feel like my only role now would be to tear your sails with my pessimism and discontent
18;i feel just bcoz a fight we get mad to each other n u wanna make a publicity n let the world knows about our fight;feel just bcoz fight we get mad to each other wanna make publicity let the world knows about our fight;['feel', 'just', 'bcoz', 'fight', 'we', 'get', 'mad', 'to', 'each', 'other', 'wan', 'na', 'make', 'publicity', 'let', 'the', 'world', 'knows', 'about', 'our', 'fight'];['feel', 'just', 'bcoz', 'fight', 'we', 'get', 'mad', 'to', 'each', 'other', 'wan', 'na', 'make', 'publicity', 'let', 'the', 'world', 'knows', 'about', 'our', 'fight'];feel just bcoz fight we get mad to each other wan na make publicity let the world knows about our fight
19;i feel like reds and purples are just so rich and kind of perfect;feel like reds and purples are just so rich and kind of perfect;['feel', 'like', 'reds', 'and', 'purples', 'are', 'just', 'so', 'rich', 'and', 'kind', 'of', 'perfect'];['feel', 'like', 'reds', 'and', 'purples', 'are', 'just', 'so', 'rich', 'and', 'kind', 'of', 'perfect'];feel like reds and purples are just so rich and kind of perfect
20;im not sure the feeling of loss will ever go away but it may dull to a sweet feeling of nostalgia at what i shared in this life with my dad and the luck i had to have a dad for years;im not sure the feeling of loss will ever go away but it may dull to sweet feeling of nostalgia at what shared in this life with my dad and the luck had to have dad for years;['im', 'not', 'sure', 'the', 'feeling', 'of', 'loss', 'will', 'ever', 'go', 'away', 'but', 'it', 'may', 'dull', 'to', 'sweet', 'feeling', 'of', 'nostalgia', 'at', 'what', 'shared', 'in', 'this', 'life', 'with', 'my', 'dad', 'and', 'the', 'luck', 'had', 'to', 'have', 'dad', 'for', 'years'];['im', 'not', 'sure', 'the', 'feeling', 'of', 'loss', 'will', 'ever', 'go', 'away', 'but', 'it', 'may', 'dull', 'to', 'sweet', 'feeling', 'of', 'nostalgia', 'at', 'what', 'shared', 'in', 'this', 'life', 'with', 'my', 'dad', 'and', 'the', 'luck', 'had', 'to', 'have', 'dad', 'for', 'years'];im not sure the feeling of loss will ever go away but it may dull to sweet feeling of nostalgia at what shared in this life with my dad and the luck had to have dad for years
21;i feel like ive gotten to know many of you through comments and emails and for that im appreciative and glad you are a part of this little space;feel like ive gotten to know many of you through comments and emails and for that im appreciative and glad you are part of this little space;['feel', 'like', 'ive', 'gotten', 'to', 'know', 'many', 'of', 'you', 'through', 'comments', 'and', 'emails', 'and', 'for', 'that', 'im', 'appreciative', 'and', 'glad', 'you', 'are', 'part', 'of', 'this', 'little', 'space'];['feel', 'like', 'ive', 'gotten', 'to', 'know', 'many', 'of', 'you', 'through', 'comments', 'and', 'emails', 'and', 'for', 'that', 'im', 'appreciative', 'and', 'glad', 'you', 'are', 'part', 'of', 'this', 'little', 'space'];feel like ive gotten to know many of you through comments and emails and for that im appreciative and glad you are part of this little space
22;i survey my own posts over the last few years and only feel pleased with vague snippets of a few of them only feel that little bits of them capture what its like to be me or someone like me in dublin in the st century;survey my own posts over the last few years and only feel pleased with vague snippets of few of them only feel that little bits of them capture what its like to be me or someone like me in dublin in the st century;['survey', 'my', 'own', 'posts', 'over', 'the', 'last', 'few', 'years', 'and', 'only', 'feel', 'pleased', 'with', 'vague', 'snippets', 'of', 'few', 'of', 'them', 'only', 'feel', 'that', 'little', 'bits', 'of', 'them', 'capture', 'what', 'its', 'like', 'to', 'be', 'me', 'or', 'someone', 'like', 'me', 'in', 'dublin', 'in', 'the', 'st', 'century'];['survey', 'my', 'own', 'posts', 'over', 'the', 'last', 'few', 'years', 'and', 'only', 'feel', 'pleased', 'with', 'vague', 'snippets', 'of', 'few', 'of', 'them', 'only', 'feel', 'that', 'little', 'bits', 'of', 'them', 'capture', 'what', 'its', 'like', 'to', 'be', 'me', 'or', 'someone', 'like', 'me', 'in', 'dublin', 'in', 'the', 'st', 'century'];survey my own posts over the last few years and only feel pleased with vague snippets of few of them only feel that little bits of them capture what its like to be me or someone like me in dublin in the st century
23;i also tell you in hopes that anyone who is still feeling stigmatized or ashamed of their mental health issues will let go of the stigma let go of the shame;also tell you in hopes that anyone who is still feeling stigmatized or ashamed of their mental health issues will let go of the stigma let go of the shame;['also', 'tell', 'you', 'in', 'hopes', 'that', 'anyone', 'who', 'is', 'still', 'feeling', 'stigmatized', 'or', 'ashamed', 'of', 'their', 'mental', 'health', 'issues', 'will', 'let', 'go', 'of', 'the', 'stigma', 'let', 'go', 'of', 'the', 'shame'];['also', 'tell', 'you', 'in', 'hopes', 'that', 'anyone', 'who', 'is', 'still', 'feeling', 'stigmatized', 'or', 'ashamed', 'of', 'their', 'mental', 'health', 'issues', 'will', 'let', 'go', 'of', 'the', 'stigma', 'let', 'go', 'of', 'the', 'shame'];also tell you in hopes that anyone who is still feeling stigmatized or ashamed of their mental health issues will let go of the stigma let go of the shame
24;i don t feel guilty like i m not going to be able to cook for him;don feel guilty like not going to be able to cook for him;['don', 'feel', 'guilty', 'like', 'not', 'going', 'to', 'be', 'able', 'to', 'cook', 'for', 'him'];['don', 'feel', 'guilty', 'like', 'not', 'going', 'to', 'be', 'able', 'to', 'cook', 'for', 'him'];don feel guilty like not going to be able to cook for him
25;i hate it when i feel fearful for absolutely no reason;hate it when feel fearful for absolutely no reason;['hate', 'it', 'when', 'feel', 'fearful', 'for', 'absolutely', 'no', 'reason'];['hate', 'it', 'when', 'feel', 'fearful', 'for', 'absolutely', 'no', 'reason'];hate it when feel fearful for absolutely no reason
26;i am feeling outraged it shows everywhere;am feeling outraged it shows everywhere;['am', 'feeling', 'outraged', 'it', 'shows', 'everywhere'];['am', 'feeling', 'outraged', 'it', 'shows', 'everywhere'];am feeling outraged it shows everywhere
27;i stole a book from one of my all time favorite authors and now i feel like a rotten person;stole book from one of my all time favorite authors and now feel like rotten person;['stole', 'book', 'from', 'one', 'of', 'my', 'all', 'time', 'favorite', 'authors', 'and', 'now', 'feel', 'like', 'rotten', 'person'];['stole', 'book', 'from', 'one', 'of', 'my', 'all', 'time', 'favorite', 'authors', 'and', 'now', 'feel', 'like', 'rotten', 'person'];stole book from one of my all time favorite authors and now feel like rotten person
28;i do feel insecure sometimes but who doesnt;do feel insecure sometimes but who doesnt;['do', 'feel', 'insecure', 'sometimes', 'but', 'who', 'doesnt'];['do', 'feel', 'insecure', 'sometimes', 'but', 'who', 'doesnt'];do feel insecure sometimes but who doesnt
29;i highly recommend visiting on a wednesday if youre able because its less crowded so you get to ask the farmers more questions without feeling rude for holding up a line;highly recommend visiting on wednesday if youre able because its less crowded so you get to ask the farmers more questions without feeling rude for holding up line;['highly', 'recommend', 'visiting', 'on', 'wednesday', 'if', 'youre', 'able', 'because', 'its', 'less', 'crowded', 'so', 'you', 'get', 'to', 'ask', 'the', 'farmers', 'more', 'questions', 'without', 'feeling', 'rude', 'for', 'holding', 'up', 'line'];['highly', 'recommend', 'visiting', 'on', 'wednesday', 'if', 'youre', 'able', 'because', 'its', 'less', 'crowded', 'so', 'you', 'get', 'to', 'ask', 'the', 'farmers', 'more', 'questions', 'without', 'feeling', 'rude', 'for', 'holding', 'up', 'line'];highly recommend visiting on wednesday if youre able because its less crowded so you get to ask the farmers more questions without feeling rude for holding up line
30;ive been missing him and feeling so restless at home thinking of him;ive been missing him and feeling so restless at home thinking of him;['ive', 'been', 'missing', 'him', 'and', 'feeling', 'so', 'restless', 'at', 'home', 'thinking', 'of', 'him'];['ive', 'been', 'missing', 'him', 'and', 'feeling', 'so', 'restless', 'at', 'home', 'thinking', 'of', 'him'];ive been missing him and feeling so restless at home thinking of him
31;i posted on my facebook page earlier this week ive been feeling a little grumpy and out of sorts the past few days;posted on my facebook page earlier this week ive been feeling little grumpy and out of sorts the past few days;['posted', 'on', 'my', 'facebook', 'page', 'earlier', 'this', 'week', 'ive', 'been', 'feeling', 'little', 'grumpy', 'and', 'out', 'of', 'sorts', 'the', 'past', 'few', 'days'];['posted', 'on', 'my', 'facebook', 'page', 'earlier', 'this', 'week', 'ive', 'been', 'feeling', 'little', 'grumpy', 'and', 'out', 'of', 'sorts', 'the', 'past', 'few', 'days'];posted on my facebook page earlier this week ive been feeling little grumpy and out of sorts the past few days
32;i start to feel emotional;start to feel emotional;['start', 'to', 'feel', 'emotional'];['start', 'to', 'feel', 'emotional'];start to feel emotional
33;i feel so cold a href http irish;feel so cold href http irish;['feel', 'so', 'cold', 'href', 'http', 'irish'];['feel', 'so', 'cold', 'href', 'http', 'irish'];feel so cold href http irish
34;i feel like i m defective or something for not having baby fever;feel like defective or something for not having baby fever;['feel', 'like', 'defective', 'or', 'something', 'for', 'not', 'having', 'baby', 'fever'];['feel', 'like', 'defective', 'or', 'something', 'for', 'not', 'having', 'baby', 'fever'];feel like defective or something for not having baby fever
35;i feel more virtuous than when i eat veggies dipped in hummus;feel more virtuous than when eat veggies dipped in hummus;['feel', 'more', 'virtuous', 'than', 'when', 'eat', 'veggies', 'dipped', 'in', 'hummus'];['feel', 'more', 'virtuous', 'than', 'when', 'eat', 'veggies', 'dipped', 'in', 'hummus'];feel more virtuous than when eat veggies dipped in hummus
36;i feel very honoured to be included in a magzine which prioritises health and clean living so highly im curious do any of you read magazines concerned with health and clean lifestyles such as the green parent;feel very honoured to be included in magzine which prioritises health and clean living so highly im curious do any of you read magazines concerned with health and clean lifestyles such as the green parent;['feel', 'very', 'honoured', 'to', 'be', 'included', 'in', 'magzine', 'which', 'prioritises', 'health', 'and', 'clean', 'living', 'so', 'highly', 'im', 'curious', 'do', 'any', 'of', 'you', 'read', 'magazines', 'concerned', 'with', 'health', 'and', 'clean', 'lifestyles', 'such', 'as', 'the', 'green', 'parent'];['feel', 'very', 'honoured', 'to', 'be', 'included', 'in', 'magzine', 'which', 'prioritises', 'health', 'and', 'clean', 'living', 'so', 'highly', 'im', 'curious', 'do', 'any', 'of', 'you', 'read', 'magazines', 'concerned', 'with', 'health', 'and', 'clean', 'lifestyles', 'such', 'as', 'the', 'green', 'parent'];feel very honoured to be included in magzine which prioritises health and clean living so highly im curious do any of you read magazines concerned with health and clean lifestyles such as the green parent
37;i spent the last two weeks of school feeling miserable;spent the last two weeks of school feeling miserable;['spent', 'the', 'last', 'two', 'weeks', 'of', 'school', 'feeling', 'miserable'];['spent', 'the', 'last', 'two', 'weeks', 'of', 'school', 'feeling', 'miserable'];spent the last two weeks of school feeling miserable
38;im feeling very peaceful about our wedding again now after having;im feeling very peaceful about our wedding again now after having;['im', 'feeling', 'very', 'peaceful', 'about', 'our', 'wedding', 'again', 'now', 'after', 'having'];['im', 'feeling', 'very', 'peaceful', 'about', 'our', 'wedding', 'again', 'now', 'after', 'having'];im feeling very peaceful about our wedding again now after having
39;i had been talking to coach claudia barcomb and coach ali boe for a long time and they both made me feel very welcomed at union;had been talking to coach claudia barcomb and coach ali boe for long time and they both made me feel very welcomed at union;['had', 'been', 'talking', 'to', 'coach', 'claudia', 'barcomb', 'and', 'coach', 'ali', 'boe', 'for', 'long', 'time', 'and', 'they', 'both', 'made', 'me', 'feel', 'very', 'welcomed', 'at', 'union'];['had', 'been', 'talking', 'to', 'coach', 'claudia', 'barcomb', 'and', 'coach', 'ali', 'boe', 'for', 'long', 'time', 'and', 'they', 'both', 'made', 'me', 'feel', 'very', 'welcomed', 'at', 'union'];had been talking to coach claudia barcomb and coach ali boe for long time and they both made me feel very welcomed at union
40;i feel if i completely hated things i d exercise my democratic right speak my mind in what ever ways possible and try to enact a change;feel if completely hated things my democratic right speak my mind in what ever ways possible and try to enact change;['feel', 'if', 'completely', 'hated', 'things', 'my', 'democratic', 'right', 'speak', 'my', 'mind', 'in', 'what', 'ever', 'ways', 'possible', 'and', 'try', 'to', 'enact', 'change'];['feel', 'if', 'completely', 'hated', 'things', 'my', 'democratic', 'right', 'speak', 'my', 'mind', 'in', 'what', 'ever', 'ways', 'possible', 'and', 'try', 'to', 'enact', 'change'];feel if completely hated things my democratic right speak my mind in what ever ways possible and try to enact change
41;i feel humiliated embarrassed or foolish i will remember that others have felt the same way because of the same kinds of things and i will be kind and helpful and accepting;feel humiliated embarrassed or foolish will remember that others have felt the same way because of the same kinds of things and will be kind and helpful and accepting;['feel', 'humiliated', 'embarrassed', 'or', 'foolish', 'will', 'remember', 'that', 'others', 'have', 'felt', 'the', 'same', 'way', 'because', 'of', 'the', 'same', 'kinds', 'of', 'things', 'and', 'will', 'be', 'kind', 'and', 'helpful', 'and', 'accepting'];['feel', 'humiliated', 'embarrassed', 'or', 'foolish', 'will', 'remember', 'that', 'others', 'have', 'felt', 'the', 'same', 'way', 'because', 'of', 'the', 'same', 'kinds', 'of', 'things', 'and', 'will', 'be', 'kind', 'and', 'helpful', 'and', 'accepting'];feel humiliated embarrassed or foolish will remember that others have felt the same way because of the same kinds of things and will be kind and helpful and accepting
42;i feel reassured that i am dealing with my diet in the right way and that all is good;feel reassured that am dealing with my diet in the right way and that all is good;['feel', 'reassured', 'that', 'am', 'dealing', 'with', 'my', 'diet', 'in', 'the', 'right', 'way', 'and', 'that', 'all', 'is', 'good'];['feel', 'reassured', 'that', 'am', 'dealing', 'with', 'my', 'diet', 'in', 'the', 'right', 'way', 'and', 'that', 'all', 'is', 'good'];feel reassured that am dealing with my diet in the right way and that all is good
43;i feel i have to agree with her even though i can imagine some rather unpleasant possible cases;feel have to agree with her even though can imagine some rather unpleasant possible cases;['feel', 'have', 'to', 'agree', 'with', 'her', 'even', 'though', 'can', 'imagine', 'some', 'rather', 'unpleasant', 'possible', 'cases'];['feel', 'have', 'to', 'agree', 'with', 'her', 'even', 'though', 'can', 'imagine', 'some', 'rather', 'unpleasant', 'possible', 'cases'];feel have to agree with her even though can imagine some rather unpleasant possible cases
44;im in such a happy mood today i feel almost delighted and i havent done anything different today then i normally have it is wonderful;im in such happy mood today feel almost delighted and havent done anything different today then normally have it is wonderful;['im', 'in', 'such', 'happy', 'mood', 'today', 'feel', 'almost', 'delighted', 'and', 'havent', 'done', 'anything', 'different', 'today', 'then', 'normally', 'have', 'it', 'is', 'wonderful'];['im', 'in', 'such', 'happy', 'mood', 'today', 'feel', 'almost', 'delighted', 'and', 'havent', 'done', 'anything', 'different', 'today', 'then', 'normally', 'have', 'it', 'is', 'wonderful'];im in such happy mood today feel almost delighted and havent done anything different today then normally have it is wonderful
45;im feeling really out of place and irritated;im feeling really out of place and irritated;['im', 'feeling', 'really', 'out', 'of', 'place', 'and', 'irritated'];['im', 'feeling', 'really', 'out', 'of', 'place', 'and', 'irritated'];im feeling really out of place and irritated
46;i also know that i feel nothing than a friendly affection to them too;also know that feel nothing than friendly affection to them too;['also', 'know', 'that', 'feel', 'nothing', 'than', 'friendly', 'affection', 'to', 'them', 'too'];['also', 'know', 'that', 'feel', 'nothing', 'than', 'friendly', 'affection', 'to', 'them', 'too'];also know that feel nothing than friendly affection to them too
47;i feel like i had a rather productive weekend and i cant always say that no matter how much i get done;feel like had rather productive weekend and cant always say that no matter how much get done;['feel', 'like', 'had', 'rather', 'productive', 'weekend', 'and', 'cant', 'always', 'say', 'that', 'no', 'matter', 'how', 'much', 'get', 'done'];['feel', 'like', 'had', 'rather', 'productive', 'weekend', 'and', 'cant', 'always', 'say', 'that', 'no', 'matter', 'how', 'much', 'get', 'done'];feel like had rather productive weekend and cant always say that no matter how much get done
48;im feeling insecure at the moment;im feeling insecure at the moment;['im', 'feeling', 'insecure', 'at', 'the', 'moment'];['im', 'feeling', 'insecure', 'at', 'the', 'moment'];im feeling insecure at the moment
49;i was feeling pretty anxious all day but my first day at work was a very good day and that helped a lot;was feeling pretty an all day but my first day at work was very good day and that helped lot;['was', 'feeling', 'pretty', 'an', 'all', 'day', 'but', 'my', 'first', 'day', 'at', 'work', 'was', 'very', 'good', 'day', 'and', 'that', 'helped', 'lot'];['was', 'feeling', 'pretty', 'an', 'all', 'day', 'but', 'my', 'first', 'day', 'at', 'work', 'was', 'very', 'good', 'day', 'and', 'that', 'helped', 'lot'];was feeling pretty an all day but my first day at work was very good day and that helped lot
50;i stood up to you i finally stood up to you and now i feel like im being punished if i could go back and do it again;stood up to you finally stood up to you and now feel like im being punished if could go back and do it again;['stood', 'up', 'to', 'you', 'finally', 'stood', 'up', 'to', 'you', 'and', 'now', 'feel', 'like', 'im', 'being', 'punished', 'if', 'could', 'go', 'back', 'and', 'do', 'it', 'again'];['stood', 'up', 'to', 'you', 'finally', 'stood', 'up', 'to', 'you', 'and', 'now', 'feel', 'like', 'im', 'being', 'punished', 'if', 'could', 'go', 'back', 'and', 'do', 'it', 'again'];stood up to you finally stood up to you and now feel like im being punished if could go back and do it again
51;i feel a little nervous i go to the gym;feel little nervous go to the gym;['feel', 'little', 'nervous', 'go', 'to', 'the', 'gym'];['feel', 'little', 'nervous', 'go', 'to', 'the', 'gym'];feel little nervous go to the gym
52;i feel like i could go into any situation and become successful because i ve been competing all my life explained schaub in an interview with the a href http bleacherreport;feel like could go into any situation and become successful because ve been competing all my life schaub in an interview with the href http bleacherreport;['feel', 'like', 'could', 'go', 'into', 'any', 'situation', 'and', 'become', 'successful', 'because', 've', 'been', 'competing', 'all', 'my', 'life', 'schaub', 'in', 'an', 'interview', 'with', 'the', 'href', 'http', 'bleacherreport'];['feel', 'like', 'could', 'go', 'into', 'any', 'situation', 'and', 'become', 'successful', 'because', 've', 'been', 'competing', 'all', 'my', 'life', 'schaub', 'in', 'an', 'interview', 'with', 'the', 'href', 'http', 'bleacherreport'];feel like could go into any situation and become successful because ve been competing all my life schaub in an interview with the href http bleacherreport
53;i can t stop the anxiety i feel when i m alone when i ve got no distractions;can stop the an feel when alone when ve got no distractions;['can', 'stop', 'the', 'an', 'feel', 'when', 'alone', 'when', 've', 'got', 'no', 'distractions'];['can', 'stop', 'the', 'an', 'feel', 'when', 'alone', 'when', 've', 'got', 'no', 'distractions'];can stop the an feel when alone when ve got no distractions
54;im trying to feel out my house style now that im living on my own and have creative carte blanche;im trying to feel out my house style now that im living on my own and have creative carte blanche;['im', 'trying', 'to', 'feel', 'out', 'my', 'house', 'style', 'now', 'that', 'im', 'living', 'on', 'my', 'own', 'and', 'have', 'creative', 'carte', 'blanche'];['im', 'trying', 'to', 'feel', 'out', 'my', 'house', 'style', 'now', 'that', 'im', 'living', 'on', 'my', 'own', 'and', 'have', 'creative', 'carte', 'blanche'];im trying to feel out my house style now that im living on my own and have creative carte blanche
55;i have tried to see what it would be like if i liked one of my girl friends but it has never really worked and i can only ever feel an emotional connection to them because they are my friends;have tried to see what it would be like if liked one of my girl friends but it has never really worked and can only ever feel an emotional connection to them because they are my friends;['have', 'tried', 'to', 'see', 'what', 'it', 'would', 'be', 'like', 'if', 'liked', 'one', 'of', 'my', 'girl', 'friends', 'but', 'it', 'has', 'never', 'really', 'worked', 'and', 'can', 'only', 'ever', 'feel', 'an', 'emotional', 'connection', 'to', 'them', 'because', 'they', 'are', 'my', 'friends'];['have', 'tried', 'to', 'see', 'what', 'it', 'would', 'be', 'like', 'if', 'liked', 'one', 'of', 'my', 'girl', 'friends', 'but', 'it', 'has', 'never', 'really', 'worked', 'and', 'can', 'only', 'ever', 'feel', 'an', 'emotional', 'connection', 'to', 'them', 'because', 'they', 'are', 'my', 'friends'];have tried to see what it would be like if liked one of my girl friends but it has never really worked and can only ever feel an emotional connection to them because they are my friends
56;i had every intention of doing more gardening this morning while it was still cool but i was just feeling so rotten;had every intention of doing more gardening this morning while it was still cool but was just feeling so rotten;['had', 'every', 'intention', 'of', 'doing', 'more', 'gardening', 'this', 'morning', 'while', 'it', 'was', 'still', 'cool', 'but', 'was', 'just', 'feeling', 'so', 'rotten'];['had', 'every', 'intention', 'of', 'doing', 'more', 'gardening', 'this', 'morning', 'while', 'it', 'was', 'still', 'cool', 'but', 'was', 'just', 'feeling', 'so', 'rotten'];had every intention of doing more gardening this morning while it was still cool but was just feeling so rotten
57;i have a good feeling about this so i am excited;have good feeling about this so am;['have', 'good', 'feeling', 'about', 'this', 'so', 'am'];['have', 'good', 'feeling', 'about', 'this', 'so', 'am'];have good feeling about this so am
58;i feel like i am just starting to understand the blessings that come from being submissive to the will of the father;feel like am just starting to understand the blessings that come from being submissive to the will of the father;['feel', 'like', 'am', 'just', 'starting', 'to', 'understand', 'the', 'blessings', 'that', 'come', 'from', 'being', 'submissive', 'to', 'the', 'will', 'of', 'the', 'father'];['feel', 'like', 'am', 'just', 'starting', 'to', 'understand', 'the', 'blessings', 'that', 'come', 'from', 'being', 'submissive', 'to', 'the', 'will', 'of', 'the', 'father'];feel like am just starting to understand the blessings that come from being submissive to the will of the father
